;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;Geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;Ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
2611;;Vinnius;Arnoldus;;Man;;-1589;Monster;Nederland;1-9-1657;Leiden;Nederland;;;;;Gewoon Lector;;18-5-1618;;Titulem de Verborum Significationibus of Regulis juris.;;;Rechtsgeleerdheid;;;"Rector Magnificus 1649-1650; 1657";Buitengewoon Hoogleraar;Romeins Recht;8-2-1633;;Instituten;;;;;;;Gewoon Hoogleraar;Romeins Recht;9-2-1636;;Instituten. 1640 Gaf tevens lessen in Pandecten en Digesten;;;Rechtsgeleerdheid;;;;Gewoon Hoogleraar;Romeins Recht;8-2-1649;;Pandecten en Digesten.1654 Gaf alléén Codex;;;Rechtsgeleerdheid;1-9-1657;Overleden;;(RECHTSGELEERDHEID) 1618-1657. Lector 1618-1633, Hoogleeraar 1633-;"zie: Molhuysen „Bronnen"" II en III; - Nieuw Nederl. Biogr. Woordenboek III K. 1312.";27341023;"1623394; 1624838; 1619627";68357826
2612;;Vinnius;Simon;;Man;;ca. 1627;Den Haag;Nederland;-1656;Leiden;Nederland;;;;;Gewoon Lector;;1-12-1650;;Rechten;;;Rechtsgeleerdheid;-1656;Overleden;1650-12-01 Lector Rechten, maar stierf spoedig daarop in 1653.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1650-1653. Lector.;"zie: Molhuysen „Bronnen"" III; - Nieuw Nederl. Biogr. Woordenboek III K. 1314.";20819161;;71245588
2614;;Visscher;Hugo;;Man;;12-10-1864;Zwolle;Nederland;17-5-1947;Alkmaar;Nederland;Promotie;Leiden;1894;Guilielmus Amesius : zijn leven en werken;Bijzonder Hoogleraar;Geschiedenis van de Godsdienst;1933;;De Prolegomena der gereformeerde levens- en wereldbeschouwing;17-3-1933;Het Calvinisme en de tolerantie-politiek van Prins Willem van Oranje;Godgeleerdheid;1937;Ontslag wegens emeritaat;Bijzonder Hoogleraar Godgeleerdheid vanwege den Gereformeerden Bond tot verbreiding en verdediging van de waarheid in de Nederlandsche Hervormde (Gereformeerde) Kerk.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(Gereformeerde) Kerk.   de Prolegomena der gereformeerde levens- en
            wereldbeschouwing.";zie: JB der R.U. te Leiden 1933 blz. 108.;59884792;;67666051
2615;;Visser van Ijzendoorn;Alibert Cornelis;;Man;;2-8-1858;Gorinchem;Nederland;23-9-1924;Den Haag;Nederland;Promotie;Leiden;1884;Geschiedenis en beginselen van het onteigeningsrecht;Gewoon Hoogleraar;Burgerlijk Recht;17-3-1899;;Burgerlijk Recht, Handelsrecht, Burgerlijke Rechtsvordering. 1910-08-09: Ontheven van onderwijs geven in het Nederlands Burgerlijk Recht miv en dag waarop Prof. Meyers zijn lessen zal aanvangen;27-9-1899;;Rechtsgeleerdheid;1-10-1923;1923-10-09  Ontslag op eigen verzoek, ingaand 1923-10-01.;1913 Non-actief wegens lidmaatschap van de Tweede Kamer der Staten-Generaal. Tijdelijk vervangen door Mr. A.S. Oppenheim.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1899-1923. Hoogleeraar.;zie: A. S. Oppenheim in Levensberichten van de Mij. der Nederlandsche Letterkunde te Leiden;286106029;1663676;70158134
2617;;Visser;Marinus Willem de;;Man;;23-10-1875;Stavenisse;Nederland;7-10-1930;Leiden;Nederland;Promotie;Leiden;1900;De Graecorum diis non referentibus speciem humanam;Gewoon Hoogleraar;Japans, Chinees en Koreaans;9-5-1917;;Japansch;30-5-1917;;Letteren;7-10-1930;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(LETTEREN EN WIJSBEGEERTE) 1917-1930. Hoogleeraar.;zie: J. J. L. Duijvendak in Levensberichten van de Mij. der Nederlandsche Letterkunde te Leiden;17324645;;70363013
2618;;Visser;Cornelis;;Man;;8-4-1910;Sliedrecht;Nederland;2001;;;Promotie;Utrecht;1935;Sur la dérivée angulaire des fonctions univalentes;Gewoon Hoogleraar;Wiskunde;29-2-1955;1-7-1956;Toegepaste wiskunde;1-5-1985;"""De theorie der symmetrie""";Wiskunde en Natuurwetenschappen;1-10-1976;Eervol ontslag;1976-10-07 Afscheidscollege;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 19S8 blz. 127.;281744322;;160888611
2620;;Vissering;Simon;;Man;;23-6-1818;Amsterdam;Nederland;22-8-1888;Ellecom;Nederland;Promotie;Leiden;1842;Specimen literarium inaugurale continens quaestiones Plautinas;Gewoon Hoogleraar;Staatsrecht;18-1-1850;;Staatshuishoudkunde;23-3-1850;;Rechtsgeleerdheid;8-9-1879;Ontslag op eigen verzoek als Hoogleraar.;Rector Magnificus 1855-1856. 1882-02-21  Curator, tot zijn dood in 1888.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(CURATOR, RECHTSGELEERDHEID). Hoogleeraar 1850-1879, Curator 1882-;zie: Nieuw Nederl. Biogr. Woordenboek X K. 1119.;49444101;"1623516; 1622935; 1582082";68465475
2621;;Vitriarius;Johannes Jacobus;Johann Jacob;Man;;8-6-1679;Genève;Zwitserland;12-12-1745;Leiden;Nederland;;;;;Gewoon Hoogleraar;;21-10-1719;;Openbaar en Bijzonder Recht;15-1-1720;;Rechtsgeleerdheid;12-12-1745;Overleden;"Rector Magnificus 1721-1722; 1737-1738";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1719-1745. Hoogleeraar.;"zie: Molhuysen „Bronnen"" IV en V; - Nieuw Nederl. Biogr Woordenboek III K. 1316.
164 VITRIAR1US - VOET";35234052;"1625306; 1623261; 1582140; 1622747; 1624099; 1620208; 1624504; 1620667; 1619486; 1623248; 1623173";68420110
2622;;Vitriarius;Philippus Reinhardus;Rheynardus;Man;;17-2-1647;Oppenheim;Duitsland;30-7-1720;Leiden;Nederland;;;;;Gewoon Hoogleraar;Staatsrecht;25-9-1682;;Duitsch Staatsrecht;;;Rechtsgeleerdheid;21-10-1719;Wegens ziekte en ouderdom vervangen door zijn zoon J.J. Vitriarius.;"Rector Magnificus 1693-1694; 1702-1703; 1713-1714";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1682-1719. Hoogleeraar.;"zie: Molhuysen „Bronnen"" III en IV; - Nieuw Nederl. Biogr. Woordenboek III K. 1316.";32347469;"1624264; 1622131; 1582076; 1624975; 1620883; 1623131; 1624145";68453124
2624;Nobelprijs voor Natuurkunde (1977);Vleck;John Hasbrouck van;;Man;;13-3-1899;Middletown;USA;27-10-1980;Cambridge (MA);USA;Promotie;Harvard;1922;A critical study of possible models of the normal helium atom;Buitengewoon Hoogleraar;Natuurkunde;6-8-1959;;Theoretische natuurkunde (Lorentz leerstoel);4-3-1960;Frontiers of Physical Science in the Netherlands and the United States;Wiskunde en Natuurwetenschappen;;;Buitengewoon Hoogleraar Wis- en Natuurkunde (Lorentzleerstoel voor het tijdvak van 1960-02-01 t/m 1960-03-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5323249;;67860486
2626;;Vlekke;Bernard Hubertus Maria;;Man;;18-9-1899;Oud en Nieuw Gastel;Nederland;3-7-1970;Waalre;Nederland;Promotie;Nijmegen;1935;St. Servatius, de eerste Nederlandse bisschop in historie en legende;Bijzonder Hoogleraar;Internationaal Recht;1-8-1956;;Actuele Internationale staatkunde;19-10-1956;Over de studie der Internationale Staatskunde;Rechtsgeleerdheid;;;Bijzonder Hoogleraar vanwege het Leids Universiteits Fonds;Buitengewoon Lector;Internationaal Recht;5-9-1961;;Internationale betrekkingen van de nieuwste tijd;;;;;;;Buitengewoon Hoogleraar;Internationaal Recht;11-5-1962;;Actuele Internationale staatkunde;;;Rechtsgeleerdheid;10-6-1968;Ontslag wegens emeritaat;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1957 blz. 119 en In Mem. JB LUF 1970 blz. 80.;52491093;1659162;68336160
2630;;Vlerk;Isaäk Martinus van der;;Man;;31-1-1892;Utrecht;Nederland;29-6-1974;Leiden;Nederland;Promotie;Leiden;1922;Studie??n over Nummulinidae en Alveolinidae : haar voorkomen op Soembawa en haar beteekenis voor de geologie van Oost-Azie?? en Australie??;Gewoon Lector;Geologie;22-10-1931;;Palaeontologie en Historische Geologie;;;Wiskunde en Natuurwetenschappen;;;Persoonlijke titel van Lector Wis- en Natuurkunde.;Buitengewoon Hoogleraar;Geologie;22-2-1938;;Palaeontologie en Historische Geologie;8-4-1938;Nederland in het ijstijdvak;;;;1942-05-30 (besch) Eervol ontslag op eigen verzoek miv 1942-06-01.- 1945-09-04  Herbenoemd miv 1945-05-05.;Gewoon Hoogleraar;Geologie;13-2-1947;;Historische geologie en paleontologie;;;Wiskunde en Natuurwetenschappen;1-2-1961;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1938 blz. 76, JB 1970-1975 In Mem. blz. 99 en KNAW
            1973 blz. 190.";59373514;;69201064
2632;;Vliet;Martina van;;Vrouw;;13-6-1922;Utrecht;Nederland;2008;;;Promotie;Utrecht;1961;Het hoogheemraadschap van de Lekdijk Bovendams : een onderzoek naar de beginselen van het dijkrecht in het hoogheemraadschap, voornamelijk in de periode 1537-1795;Gewoon Lector;Staatsrecht;28-9-1971;1-1-1972;Staats- en administratief recht;10-10-1972;Feiten en normen van lokaal bestuur;Rechtsgeleerdheid;;;;Gewoon Hoogleraar;Staatsrecht;20-12-1979;;Staats- en administratief recht;;;Rechtsgeleerdheid;1-9-1983;Eervol ontslag op eigen verzoek;Gehuwd met Prof. Dr. Roelof Arent Volkier baron van Haersolte (1919-2002), hoogleraar ethiek.;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1973 blz. 70.;3838576;1661746;68245270
2635;;Vlugt;Willem van der;;Man;;12-3-1853;Haarlem;Nederland;5-11-1928;Tongeren;Nederland;Promotie;Leiden;1879;De rechtstaat, volgens de leer van Rudolf Gneist, 1e deel: De rechtstaat;Gewoon Hoogleraar;;9-10-1879;;De Wijsbegeerte van het Recht en de Encyclopaedie der Rechtswetenschap;14-1-1880;;Rechtsgeleerdheid;17-9-1923;1923-07-10 Ontslag wegens Emeritaat, ingaand 1923-09-17;Rector Magnificus 1902. 1902-1906 Non-actief wegens lidmaatschap der Tweede Kamer der Staten-Generaal. Hervatte zijn ambt in 1907.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1879-1902 en 1907-1923. Hoogleeraar.;"zie o.a.: P. J. de Kanter in „Neerlandia"" 32, 1928; - A. S. de Blécourt in Levensberichten van
de Mij. der Nederl. Letterkunde te Leiden 1931-1932; - J. M. J. de Schepper in „de
Gids"" 1929 II; - C. van Vollenhoven in de Almanak van het Leidsch Studenten C";71775733;"1582013; 1664067";69311315
2636;;Voet (Voetius);Joannes;;Man;;3-10-1647;Utrecht;Nederland;11-9-1713;Leiden;Nederland;;;;;Gewoon Hoogleraar;Romeins Recht;16-1-1680;;Romeinsch en Hedendaags Recht;;;Rechtsgeleerdheid;11-9-1713;Overleden;"1688-01-19 Kreeg tevens den titel van ""Hoogleraar in de praktijk van het Recht""(Praxeos). Rector Magnificus 1681-1682; 1686-1687; 1709-1710";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1680-1713. Hoogleeraar.;"zie: Molhuysen „Bronnen"" III en IV; - Nieuw Nederl. Biogr. Woordenboek III K. 1328.";66580047;"1621539; 1621663; 1581933; 1620094; 1622589; 1623604";68416903
2639;;Vogel;Jean Philippe;;Man;;9-1-1871;Den Haag;Nederland;10-4-1958;Oegstgeest;Nederland;Promotie;Amsterdam;1897;Het leemen wagentje : Indisch tooneelspel / uit Sansk?t en Pr?k?t in het Nederlandsch vert.;Gewoon Hoogleraar;Sanskriet;17-1-1914;;Het Sanskriet en zijn Letterkunde en de Indische Oudheidkunde;1-4-1914;Bronnen tot de kennis van het oude Indië;Letteren;16-9-1939;Ontslag wegens emeritaat;Rector Magnificus 1930-1931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: In Mem. JB der R.U. te Leiden 1958 blz. 136.;100211281;1277669;70152713
2642;;Vogelenzang;Evert Hendrik;;Man;;7-12-1898;Meppel;Nederland;8-4-1982;Leiden;Nederland;Promotie;Utrecht;1928;The variable star ?ta Geminorum;Gewoon Hoogleraar;Farmacie;23-4-1946;1-7-1946;Artenijbereidkunde, pharmaceutische chemie, vergiftleer. 1951-05-25: vakgebied gewijzigd in: de pharmaceutische scheikunde, de artsenijbereidkunde en de analytische scheikunde;20-9-1946;Over de betekenis van den vorm van het geneesmiddel;Wiskunde en Natuurwetenschappen;5-3-1969;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1946 deel II blz. 52.;107231808;;160981107
2643;;Volder;Burchardus de;Burchard;Man;;26-7-1643;Amsterdam;Nederland;28-3-1709;Leiden;Nederland;Promotie;Leiden;1664;Disputatio medica inauguralis, de natura;Gewoon Hoogleraar;Natuurkunde;7-2-1670;;1670-11-08 Gaf lessen in Physica. 1675-01-26 Gaf lessen in Proefondervindelijke Natuurkunde;;;Wiskunde en Natuurwetenschappen;;;Rector Magnificus 1697-1698;Gewoon Hoogleraar;Wiskunde;25-4-1682;;;15-6-1682;;Wiskunde en Natuurwetenschappen;6-10-1705;Vroeg ontslag wegens ziekte, doch bleef verbonden aan de Universiteit.;;;;;;;;;;;;;;;;;;;;;;;;(WIJSBEGEERTE, PHYSICA, PROEFONDERVINDELIJKE NATUURKUNDE, WISKUNDE);"zie: Molhuysen „Bronnen"" III en IV; - Siegenbeek II T. en B., H. blz. 144.";52526279;;69923531
2644;;Vollenhoven;Cornelis van;;Man;;8-5-1874;Dordrecht;Nederland;29-4-1933;Leiden;Nederland;Promotie;Leiden;1898;Omtrek en inhoud van het internationale recht;Gewoon Hoogleraar;"Indische Taal- Land- en Volkenkunde;Islam;Nederlands-Indië";21-6-1901;;Het Mahomedaansche Recht en de overige Volksinstellingen en gebruiken in Nederlandsch-Indië en in het Staatsrecht en de inrichting van 's Rijks Koloniën en overzeesche bezittingen. 1902-06-23 Onderwijs in Nederlandsch-Indische wetboeken;2-10-1901;;Rechtsgeleerdheid;29-4-1933;Overleden;1922 Leeropdracht gewijzigd in : Adatrecht van Nederlands-Indië, Staats- en Administratief recht van Nederlands-Indië, Suriname en Curacao. Rector Magnificus 1916-1917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1901-1933. Hoogleeraar.;"zie o.a.: W. J. M. van Eysinga in „Grotius"" Annuaire International pour 1934 (M. Nijhoff); -
J. Huizinga in „de Volkenbond"" 1933 no. 8; - J. C. van Oven in Nederlandsch
Juristenblad 1933; - F. M. Baron van Asbeck in de Encyclopaedie van Nederlandsch-Indië";64038930;"1662772; 1655264";68367945
2646;;Voltelen;Florentius Jacobus;;Man;;28-1-1753;Zwartland;Zuid-Afrika;2-8-1795;Leiden;Nederland;Promotie;Utrecht;1775;Observationes chemico-medicæ de lacte humano, ejusque cum asinino et ovillo comparatione : quas una cum subnexis quæstionibus;Buitengewoon Hoogleraar;Scheikunde;20-10-1783;;Geneeskunde en Scheikunde;17-1-1784;;Geneeskunde;2-8-1795;Overleden;Rector Magnificus 1790-1791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE, SCHEIKUNDE) 1783-1795. Hoogleeraar.;"zie: Molhuysen „Bronnen"" VI; - Nieuw Nederl. Biogr. Woordenboek V K. 1065.";232843494;"1625830; 1887181";70044465
2648;;Voogt;Herman Johan de;;Man;;18-1-1925;Ismailia;Egypte;17-5-1999;;;Promotie;Utrecht;1963;De endocriene behandeling van prostaatkanker;Gewoon Lector;Urologie;19-7-1975;1-8-1975;Urologie;9-4-1976;Urologie en geneeskunst;Geneeskunde;;;;Gewoon Hoogleraar;Urologie;20-12-1979;;Urologie;;;;1-7-1980;1980-07-04  Eervol ontslag op eigen verzoek miv 1980-07-01;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R U. te Leiden 1975-1980 blz. 37. 181;563103;;69461295
2649;;Voorda;Bavius;;Man;;1-7-1729;Franeker;Nederland;9-7-1799;Leiden;Nederland;Promotie;Utrecht;1751;Dissertatio juridica inauguralis de vadimonio;Gewoon Hoogleraar;"Burgerlijk Recht;Romeins Recht";26-3-1765;;Romeinsch en hedendaagsch Burgerlijk Recht;24-6-1765;;Rechtsgeleerdheid;9-7-1799;Overleden;"Rector Magnificus 1769-1770; 1781-1782. 1788-09-01 Op politieke gronden door Curatoren uit zijn ambt ontzet, ""zonder tractement of emolumenten"". Dit besluit bekrachtigd door de Staten van Holland. 1795-02-21 in ambt hersteld. 1795-05-07 Oratie.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1765-1799. Hoogleeraar.;"zie: Molhuysen „Bronnen"" VI en VII; - Nieuw Nederl. Biogr. Woordenboek III K. 1336.";39743412;"1620349; 1581940; 1623964; 1624893; 1625256; 1623401; 1625377; 1625126; 1622575; 1623699";68359829
2651;;Voorhoeve;Jan;;Man;;19-6-1923;Djombang;Nederlands-Indië;30-1-1983;Parijs;Frankrijk;Promotie;Amsterdam;1953;Voorstudies tot een beschrijving van het Sranan Tongo (Negerengels van Suriname);Buitengewoon Hoogleraar;Afrikaanse Talen en Culturen;12-4-1967;1-6-1967;Afrikaanse taalkunde, in het bijzonder. de talen van West-Afrika;9-6-1967;Toontypen, het thema achter de variaties;Letteren;;;;Gewoon Hoogleraar;Afrikaanse Talen en Culturen;21-8-1968;;Afrikaanse taalkunde en met Afrikaanse talen samenhangende creoleringsverschijnselen;;;Letteren;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1967/68 blz. 235.;66551170;;73411752
2653;;Voorhorst;Reindert;;Man;;15-6-1915;Wijhe;Nederland;9-4-2005;Tilburg;Nederland;Promotie;Utrecht;1954;Werkingskarakteristiek van enkele chemotherapeutica en desinfectantia op de tuberkelbacterie = Characteristic differences between the effects of a number of chemotherapeutics and desinfectants on the tubercle-bacteria;Gewoon Lector;;6-7-1961;1-8-1961;Allergologie;14-11-1961;Het andere gezicht van de allergie;Geneeskunde;;;;Gewoon Hoogleraar;;20-12-1979;;Allergologie;;;Geneeskunde;1-9-1980;Eervol ontslag wegens emeritaat;"1980-12-19 Afscheidscollege: ""Wetenschapsbeoefening en patientenzorg in de allergologie""";;;;;;;;;;;;;;;;;;;;;;;;;11203609;;68748035
2655;;Voorma;Harm Otto;;Man;;29-3-1936;Leiderdorp;Nederland;21-2-2015;;;Promotie;Leiden;1965;Virus-RNA als boodschapper : het lezen van een polycistronische boodschapper in celvrije extracten van Escherichia coli;Gewoon Lector;Biochemie;12-8-1969;1-9-1969;Biochemie;;;Wiskunde en Natuurwetenschappen;17-8-1974;Eervol ontslag wegens benoeming als Hoogleraar te Utrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;290966258;;67749887
2658;;Voorst;Joannes van;;Man;;17-3-1757;Delft;Nederland;29-7-1833;Leiden;Nederland;;;;;Gewoon Hoogleraar;Nieuwe Testament;20-3-1799;;Godgeleerdheid, Christelijke Oudheden en Christelijke Leerstellingen.1800-04-10  tevens Uitlegging van het Nieuwe Testament;1-6-1799;;Wijsbegeerte;;;"Rector Magnificus 1803-1804; 1808-1809; 1816-1817";Gewoon Hoogleraar;;15-10-1803;16 Bevestigd.-10-1815;;;;Godgeleerdheid;1827;Ontslag als Hoogleraar wegens Emeritaat.;1803 Ging over van de Faculteit der Wijsbegeerte in de Faculteit der Godgeleerdheid. 1816 voorzitter Bibliotheekcomissie. 1819 Bibliothecaris tot zijn dood in 1833;;;;;;;;;;;;;;;;;;;;;;;(BIBLIOTHECARIS, WIJSBEGEERTE, GODGELEERDHEID) 1799-1833. Hoogleeraar;"zie: Molhuysen „Bronnen"" VII; - Nieuw Nederl. Biogr. Woordenboek IX K. 1123.";69709132;"1581759; 1620515; 1619843; 1623228; 1621481; 1622057; 1624669";70109486
2662;;Voorthuisen;Adrianus Everardus van;Ad;Man;;18-5-1931;Den Haag;Nederland;21-7-2016;Warmond;Nederland;Promotie;Leiden;1967;Ervaringen met selectieve arteriografie van de Arteria coeliaca en de Arteria mesenterica superior;Gewoon Lector;Radiologie;27-11-1968;1-12-1968;Radiologie met een bijzondere opdracht in de radiodiagnostiek;;;Geneeskunde;;;;Gewoon Hoogleraar;Radiologie;27-10-1970;;Radiologie met een bijzondere opdracht in de radiodiagnostiek;12-3-1971;Beschouwing bij een palmpaas;Geneeskunde;1996;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1971 blz. 59.;288658796;;07330171X
2663;;Vorstius;Adolphus;;Man;;18-11-1597;Delft;Nederland;9-10-1663;Leiden;Nederland;;;;;Gewoon Hoogleraar;Biologie;13-5-1625;;Medische Instituten. 1648 Onderwees Aphorismi Hippocratis;;;Geneeskunde;9-10-1663;Overleden;"Rector Magnificus 1636-1637; 1652-1653; 1660-1661. Eveneens bestuurder van de Kruidhof.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1624-1663. Hoogleeraar.;"zie: Molhuysen „Bronnen"" II en III;  van der Aa 11; - Siegenbeek II, T. en B., H. 112; •-•
H. Veendorp en L. G. M. Baas Becking in: Hortus Academicus Lugduno-Batavus 1587-";25666306;"1581859; 1625562; 1625330; 1623063; 1620462; 1624250; 1621771; 1623351";69856931
2664;;Vorstius;Aelius Everhardus;;Man;;26-9-1565;Roermond;Nederland;22-10-1624;Leiden;Nederland;;;;;Buitengewoon Hoogleraar;Natuurkunde;9-11-1598;;;;;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;;22-9-1599;;;;;"Geneeskunde; Wiskunde en Natuurwetenschappen";22-10-1624;Overleden;"1617-05-08 Bestuurder van den Kruidhof en gaf tevens onderwijs in Kruidkunde. Rector Magnificus 1609-1610; 1612-1613; 1621-1623";;;;;;;;;;;;;;;;;;;;;;;(NATUURKUNDE, GENEESKUNDE, KRUIDKUNDE) 1598-1624. Hoogleeraar.;"zie: Molhuysen „Bronnen"" I en II; - Nieuw Nederl. Biogr. Woordenboek IV K. 1411; - H.
Veendorp en L. G. M. Baas Becking in: Hortus Academicus Lugduno-Batavus 1587-1937,
blz. 66.";44653745;"1581923; 1622540; 1623206; 1623081; 1624928; 1623663";74750828
2665;;Vorstius;Conradus;;Man;;19-7-1569;Keulen;Duitsland;9-10-1622;Tönningen;Duitsland;;;;;Gewoon Hoogleraar;;6-5-1611;;Godgeleerdheid;24-5-1611;;Godgeleerdheid;-1625;Uit ambt ontslagen.;1612 Verbod om colleges te geven wegens zg Ketterij.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1611-1619. Hoogleeraar.;"zie: Molhuysen „Bronnen"" II; - Nieuw Nederl. Biogr. Woordenboek III K. 1342.";49207854;"1621082; 1620965; 1622504; 1622019; 1620724; 1621655; 1624619; 1624576";69602735
2670;;Vos;Henri;;Man;;17-10-1858;Leeuwarden;Nederland;7-2-1939;Oegstgeest;Nederland;Promotie;Leiden;1886;Publiekrechtelijke geschillen;Tijdelijk Lector;;16-2-1903;;De Encylopaedie der Rechtswetenschap;;;Rechtsgeleerdheid;1907;1906-10-03  Deze benoeming gecontinueerd tot 1907;1903-02-04 Tijdelijk Lector Rechtsgeleerdheid voor het tijdvak, ingaand 1903-02-16 en eindigend met de dag, waarop de Hoogleraar W. van der Vlugt mocht ophouden lid te zijn van de Tweede Kamer der Staten-Generaal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1903-1907. Lector.;zie: R. Kranenburg in Leidsch Jaarboekje 1940.;280480938;;69383332
2672;;Vos;Frits;;Man;;6-11-1918;Delft;Nederland;19-1-2000;Leiden;Nederland;Promotie;Leiden;1957;A study of the Ise-monogatari with the text according to the Den-Teika-hippon and an annotated translation;Gewoon Hoogleraar;Japans, Chinees en Koreaans;4-9-1958;15-9-1958;Japanse en Koreaanse taal- en letterkunde;6-2-1959;Volken van een stam? Enige beschouwingen over de problemen van een Koreaans-Japanse cultuur- en taalverwantschap;Letteren;1-12-1983;Eervol ontslag;"1980-03-08 Diesrede: ""Van keurslijfjes en keesjes, bosschieters en lijfschutten"". 1983-12-02 Afscheidscollege: ""Met de neus op de rand. Speurend naar de p in ogi""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1959 blz. 143.;41893714;;06887829X
2673;;Vosmaer;Gualtherus Carel Jacob;;Man;;29-8-1854;Nieuw Beijerland;Nederland;23-9-1916;Leiden;Nederland;Promotie;Leiden;1880;Leucandra aspera en het Kanaalsysteem der sponzen;Gewoon Hoogleraar;"Biologie;Fysiologie";17-11-1903;;Zoölogie, Vergelijkende Anatomie en Physiologie;20-1-1904;;Wiskunde en Natuurwetenschappen;23-9-1916;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Wis- EN NATUURKUNDE) 1903-1916. Hoogleeraar.;"zie: C. A. Pekelharing in Nederl. Tijdschrift voor Geneeskunde 1916, 60 II B.; - C. J. van der
Klaauw in „het Hooger Onderwijs in de Zoölogie en zijne hulpmiddelen te Leiden"" 1926, o a.
aanteekeningen 587 ev.; - Jaarboek der R.U. te Leiden 1917 blz. 84; -";52738316;;67685331
2675;;Vossius;Gerardus Johannes;;Man;;1577;Heidelberg;Duitsland;17-3-1649;Amsterdam;Nederland;;;;;Gewoon Lector;Retorica;1620;;;;;Letteren;;;;Gewoon Hoogleraar;"Algemene Tijdrekenkunde;Klassieke Talen;Retorica";8-11-1622;;1625 Gaf tevens lessen in Grieksche Taal;;;Letteren;;;;Gewoon Hoogleraar;"Algemene Tijdrekenkunde;Klassieke Talen;Retorica";8-5-1626;;;;;Letteren;8-8-1631;Ontslag op eigen verzoek wegens benoeming tot Hoogleraar te Amsterdam.;;;;;;;;;;;;;(Statencollege, WELSPREKENDHEID, ALGEMEENE TIJDREKENKUNDE, GRIEKSCHE;;7415128;"1622475; 1622100; 1621549; 1619931; 1620148; 1622298; 1622717; 1623319; 1620896; 1619846";68773560
